Performance Statistics   2021-12-03 11:30:00 - 2021-12-03 11:32:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
runtimePropertiesFrame#xml                               0,3           0           1         0,4           4
runtimePropertiesFrameMain#xml                           1,0           0           2         1,0           2
runtimePropertiesFrameTab#xml                            0,0           0           0         0,0           2
sec$User.changePassword#afterShow                        0,0           0           0         0,0           1
sec$User.changePassword#beforeShow                       0,0           0           0         0,0           1
sec$User.changePassword#create                           1,0           1           1         0,0           1
sec$User.changePassword#init                            24,0          24          24         0,0           1
sec$User.changePassword#inject                           5,0           5           5         0,0           1
sec$User.changePassword#load                            85,0          85          85         0,0           1
sec$User.changePassword#uiPermissions                    0,0           0           0         0,0           1
sec$User.changePassword#xml                              1,8           0          11         4,1           6
simpleDocHeaderFrame#create                              2,0           2           2         0,0           1
simpleDocHeaderFrame#xml                                 1,0           0           2         1,0           2
startProcessButtonsFrame#create                          1,0           1           1         0,0           1
startProcessButtonsFrame#xml                             0,0           0           0         0,0           2
transition.form#afterShow                               32,0          32          32         0,0           1
transition.form#beforeShow                               2,0           2           2         0,0           1
transition.form#companion                                0,0           0           0         0,0           1
transition.form#create                                   3,0           3           3         0,0           1
transition.form#init                                   115,0         115         115         0,0           1
transition.form#inject                                   8,0           8           8         0,0           1
transition.form#load                                   120,0         120         120         0,0           1
transition.form#uiPermissions                            0,0           0           0         0,0           1
transition.form#xml                                      3,8           0          23         8,6           6
transition.form.attachmentsFrame#init                   28,0          28          28         0,0           1
transition.form.attachmentsFrame#inject                  0,0           0           0         0,0           1
transition.form.attachmentsFrame#load                    2,0           2           2         0,0           1
transition.form.cardRolesFrame#init                      0,0           0           0         0,0           1
transition.form.cardRolesFrame#inject                    0,0           0           0         0,0           1
transition.form.cardRolesFrame#load                      3,0           3           3         0,0           1
transition.form.cardRolesFrame@procRolesDs              19,0          19          19         0,0           1
transition.form.windowActions#init                       0,0           0           0         0,0           1
transition.form.windowActions#inject                     0,0           0           0         0,0           1
transition.form.windowActions#load                       0,0           0           0         0,0           1
transition.form@attachmentsDs                           10,0           9          11         0,8           3
transition.form@cardRolesDs                             16,0          16          16         0,0           1
voiceControlConsole#create                               1,0           1           1         0,0           2
voiceControlConsole#xml                                  0,0           0           0         0,0           2

Performance Statistics   2021-12-03 11:56:00 - 2021-12-03 11:58:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
CardDeadlineDatasource#loadTree                         13,8           6          39        10,3           8
MenuItem.df$SimpleDoc.browse                           188,0         183         193         5,0           2
MenuItem.tm$Task.browse                               1236,0        1236        1236         0,0           1
TDS null                                                14,0           7          39        10,2           8
actionsFrame#create                                      0,0           0           0         0,0           1
actionsFrame#xml                                         0,0           0           0         0,0           2
addresseesFrame#create                                   0,0           0           0         0,0           1
addresseesFrame#xml                                      0,0           0           0         0,0           2
cardAttachmentsFrame#create                              3,0           3           3         0,0           1
cardAttachmentsFrame#xml                                 0,0           0           0         0,0           2
cardCommentFrame#create                                  3,0           3           3         0,0           1
cardCommentFrame#xml                                     0,0           0           0         0,0           2
cardCommentTextAreaFrame#create                          0,0           0           0         0,0           1
cardCommentTextAreaFrame#xml                             0,0           0           0         0,0           2
cardProjectsFrame#create                                 1,0           1           1         0,0           1
cardProjectsFrame#xml                                    0,0           0           0         0,0           2
cardRolesFrame#create                                    1,0           1           1         0,0           1
cardRolesFrame#xml                                       0,0           0           0         0,0           2
cardTreeFrame#create                                     0,5           0           1         0,5           4
cardTreeFrame#xml                                        0,0           0           0         0,0           8
df$SimpleDoc.browse#afterShow                            0,0           0           0         0,0           2
df$SimpleDoc.browse#beforeShow                           0,0           0           0         0,0           2
df$SimpleDoc.browse#create                               0,0           0           0         0,0           2
df$SimpleDoc.browse#init                                 2,0           2           2         0,0           2
df$SimpleDoc.browse#inject                               0,0           0           0         0,0           2
df$SimpleDoc.browse#load                                24,0          22          26         2,0           2
df$SimpleDoc.browse#uiPermissions                        0,0           0           0         0,0           2
df$SimpleDoc.browse#xml                                  0,0           0           0         0,0           4
